72F0Va.101	ＧＳ科目	エクササイズ＆スポーツ  実技・ソフトテニス（基礎）	火3	村山　孝之	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ba.101	ＧＳ科目	エクササイズ＆スポーツ  実技・ジョグ＆サーキット	木3	木村　岳裕	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ca.101	ＧＳ科目	エクササイズ＆スポーツ  実技・ソフトテニス（発展）	火4	村山　孝之	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0da.101	ＧＳ科目	エクササイズ＆スポーツ  実技・ソフトボール（基礎）	火3	野中　雄大	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ea.101	ＧＳ科目	エクササイズ＆スポーツ  実技・ソフトボール（発展）	火4	野中　雄大	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ga.101	ＧＳ科目	エクササイズ＆スポーツ  実技・トランポリン	水2	佐川　哲也	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ha.101	ＧＳ科目	エクササイズ＆スポーツ  実技・トレーニング（基礎）	火4	木村　岳裕	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0ia.101	ＧＳ科目	エクササイズ＆スポーツ  実技・トレーニング（発展）	月4	木村　岳裕	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0la.101	ＧＳ科目	エクササイズ＆スポーツ  実技・バレーボール（基礎）	火4	横山　剛士	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0wa.101	ＧＳ科目	エクササイズ＆スポーツ  実技・体操（基礎）	火1	山田　哲	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0za.101	ＧＳ科目	エクササイズ＆スポーツ  実技・テニス（基礎）	木2	芝口　翼	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0za.102	ＧＳ科目	エクササイズ＆スポーツ  実技・テニス（基礎）	水1	芝口　翼	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0zad.11	ＧＳ科目	エクササイズ＆スポーツ  実技・バスケットボール（基礎）	水3	野中　雄大	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72F0zag.11	ＧＳ科目	エクササイズ＆スポーツ  実技・テニス	木1	芝口　翼	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
73301.01	自由履修科目	ゼミ／角間の里山づくり  春編	水5	佐川　哲也	全学生
73505.03	自由履修科目	地学実験	木3〜5	森下　知晃	理工学域2年以上限定
73555.01	自由履修科目	生物学実験	金3〜5	小林　功	全学生
73589.01	自由履修科目	海洋生化学演習	集中	鈴木　信雄	生命理工学類を除く全学生
73626	自由履修科目	動画配信サービスを用いた情報発信演習A	木4	森　祥寛	全学生
73654.01	自由履修科目	比較文化	火4	吉永　契一郎	全学生
